,valence,energy,tempo,acousticness,loudness,id
70,0.862,0.356,108.58,0.548,-14.788,3CH8M5lB931faZDzjCTfVW
71,0.967,0.721,129.596,0.484,-9.703,5s3zYvzEpBk0WbG6AgFUBK
72,0.652,0.75,121.082,0.489,-5.26,3Ev5ATks540KaOFTjIH97S
73,0.836,0.688,136.853,0.115,-9.357,6NIhm22UWaECPEdGm7VqEC
74,0.498,0.462,112.038,0.747,-8.109,4xR0HPOe0abZG0MZi8LYIv
75,0.97,0.58,117.97,0.345,-7.293,3Cs7DSIe8Ywa63Zjh327MQ
76,0.622,0.25,95.7,0.907,-19.277,6FPwoNnpbqqIyiDyXhRPtZ
77,0.902,0.513,146.099,0.29,-9.652,1Jp0vQZhLa7YCOBdb5frOM
78,0.961,0.744,122.297,0.0724,-6.714,3VSp8R0x274kkO6UG9Ejf3
79,0.709,0.752,121.766,0.614,-6.816,1Vv7ZtyDro81xmznV48gF6
80,0.798,0.768,116.844,0.0837,-6.406,6CcgkjU9891S2S4lHKXaYh
81,0.945,0.685,74.119,0.411,-8.666,6qBnFI2eznBHyHjg9kBT4K
82,0.383,0.526,109.968,0.665,-9.926,2mws4tIE5QT2b345hoCe0x
83,0.395,0.278,85.481,0.767,-12.12,1PBk81bJudnKT10GllH8HW
84,0.827,0.689,125.234,0.0541,-6.564,2wuEt9idXjHQyAKKfc5hzn
85,0.974,0.835,143.853,0.0225,-8.871,3bMt6mpqpDiCRQ3poewMAo
86,0.856,0.786,146.669,0.258,-4.908,2OJvxvmk7T4gRXVwWnpiC5
87,0.866,0.638,136.097,0.327,-10.012,7Dq4DIHxstJPuoZAkP4885
88,0.595,0.704,115.942,0.6,-6.679,1DPy2UtzfVPL7T1xSoTC17
89,0.769,0.533,126.229,0.539,-11.053,3MVr7KeWF6kf4znJMwiEnx
90,0.786,0.525,80.508,0.298,-13.038,6AxrqcdIE5lSjXxKUyBAU0
91,0.677,0.57,109.954,0.581,-7.623,6BQVbqCKuROQNvc5WtwiPG
92,0.942,0.689,125.932,0.14,-6.514,6iS1qciFCYHM7vjY0pAKQC
93,0.883,0.877,125.594,0.0334,-2.812,2UOijRbR9Ym6gnegBqzpzu
94,0.509,0.538,115.027,0.733,-8.488,0mmNp0RzyHH5Svf1j3pc0W
95,0.208,0.335,88.465,0.268,-10.032,0SMo38XgNvaBTNKo7skEKt
96,0.763,0.341,96.365,0.939,-12.158,45ZJ3D6n5xuwazHq3heljz
97,0.649,0.757,135.574,0.0948,-6.367,7oyWv82I9J915DAspliyq7
98,0.617,0.223,106.873,0.629,-12.4,06oBmaDk2mQDe6kIE4aXYX
99,0.844,0.693,95.431,0.686,-8.127,1NzDXJTbP1zHDLZrulnfMk
100,0.901,0.951,134.323,0.227,-4.292,69W8SeNtFmZCU36BKcz538
101,0.321,0.367,106.488,0.772,-11.104,0WRxMtWDPThZbihymON7yy
102,0.252,0.0522,98.917,0.952,-25.025,5wQYKIDmon1enyYNQNPm5p
103,0.446,0.418,89.286,0.695,-12.568,75EBphXiLQgeFspAYTaqiq
104,0.0674,0.184,62.474,0.245,-11.84,2DM11p648RhfSDY85d9ibj
105,0.615,0.267,81.86,0.626,-11.878,3AcmG9xPYVeir8E6StWIQO
106,0.914,0.674,112.121,0.63,-7.07,4R5GwH2wMDevymrV50a8hF
107,0.637,0.341,108.79,0.744,-11.768,645pkWAIHbCECpVsaZAxKq
108,0.544,0.495,166.633,0.469,-9.317,2VQhc1Qo1pye020xrtOIVW
109,0.546,0.376,78.321,0.762,-10.734,7wIUUd3gcvZVXKhF6QVcFS
110,0.634,0.457,144.166,0.577,-9.999,1LPL9jbdLJ8VmBBPkUwrcM
111,0.971,0.806,141.78,0.569,-8.947,2Dnsu9fl9UurKA3uHvgEjy
112,0.924,0.796,126.063,0.378,-7.717,26zxM3tt5OnkxGFGuKyJHQ
113,0.337,0.568,188.046,0.446,-7.466,1936vFNafyF15O6dqbpBYJ
114,0.613,0.624,129.484,0.704,-2.797,1CzxmV2RMlY7RoYN6Jd85S
115,0.73,0.711,115.564,0.366,-6.19,6JBYA8jfN3fjcD7RLgLNn1
