,valence,energy,tempo,acousticness,loudness,id
161,0.89,0.916,124.269,0.0169,-7.981,4Y1APE6AmPgcK7oFwVRucQ
162,0.375,0.363,137.319,0.0331,-10.124,1HHd5NePty1c0acLZdJLz0
163,0.419,0.149,96.434,0.727,-15.83,0KSlmvXWtOp8ezTfHMndJr
164,0.646,0.333,105.044,0.378,-8.285,5Rw8qpcPkThjuNbnHNx1wL
165,0.966,0.801,133.974,0.549,-11.158,3pQD6KlZPRM0unU42aPT2r
166,0.707,0.477,184.703,0.356,-14.082,6P2NXa7cnRUZrKPPZBek3c
167,0.761,0.538,117.087,0.556,-7.284,6YchuhRbOnMtMVSwp3S0Fn
168,0.893,0.517,113.664,0.19,-10.993,4bY7Za16KfbZsCFxDo5Xfg
169,0.614,0.692,111.402,0.15,-8.899,7CWpx5SqmXPuo15t7HMoQ8
170,0.797,0.82,140.089,0.696,-6.211,4kV6opXYLOjYswb9G9liIp
171,0.685,0.636,108.402,0.00658,-9.209,1wWyiDmH930CFyyJ67lxC8
172,0.414,0.31,115.752,0.825,-16.253,6bnHE2gyozE2D0Q2p5YZ17
173,0.131,0.114,176.982,0.91,-18.314,6EsM4rH8YrCqQCP4KjdL9h
174,0.576,0.365,106.998,0.539,-10.329,4UzjD2s4EHAlo5sbd74TA2
175,0.758,0.549,82.159,0.736,-8.927,5UPHkS5lG9J5dN2ymOsXTQ
176,0.811,0.773,115.613,0.183,-6.985,1zeyIIaLHAORbmGJAEFnX4
177,0.275,0.295,133.303,0.837,-7.535,41GeHFz9Rga2ZigTfd7UPh
178,0.716,0.475,119.686,0.616,-9.49,4YYxrrKuKE7D19uf8HULky
179,0.522,0.4,105.2,0.692,-11.698,6BbMeQkTKOcc4Uk7PQKVfI
180,0.887,0.589,110.743,0.199,-9.449,4QK0hk76YvEaklN2iZY4bi
181,0.813,0.109,100.089,0.88,-20.777,6F0N90XZnqRl27aiEhh7tm
182,0.695,0.776,113.493,0.222,-8.799,53V40CQPdQM9GWQzzBVwlk
183,0.478,0.131,80.982,0.814,-13.729,7dO8y24ZYL7kW3VWhsecCO
184,0.546,0.53,118.561,0.694,-11.765,1Pq4rwx0XIgAs9Dbv9i6u6
185,0.935,0.775,130.854,0.494,-5.841,6W95dkzxu9ycvHKRrnwXNu
186,0.29,0.362,81.112,0.375,-10.118,67LoQuoujaKTZ6YjRi0mXd
187,0.755,0.483,166.116,0.0166,-9.303,2UsgFoYHuKA7L1VHv3CIzj
