"","Track","Category","Level","Album","id","Anger","Fear","Happy","Sad","Tender","Gender","Age","Musicianship","Emotion","Tension","Energy","Valence"
"56",6,"Anger","High","Crouching Tiger ",2,3,4,1,1,1,"Female",42,2,"Discrete",NA,NA,NA
"57",7,"Anger","High","Batman Returns",2,1,6,1,2,1,"Female",42,2,"Discrete",NA,NA,NA
"58",8,"Anger","High","Man of Galilee CD1",2,2,3,1,7,2,"Female",42,2,"Discrete",NA,NA,NA
"59",9,"Anger","High","The Untouchables",2,2,2,1,1,1,"Female",42,2,"Discrete",NA,NA,NA
"60",10,"Anger","High","Oliver Twist",2,7,8,1,6,1,"Female",42,2,"Discrete",NA,NA,NA
"61",11,"Fear","Moderate","Batman Returns",2,5,7,1,3,1,"Female",42,2,"Discrete",NA,NA,NA
"62",12,"Fear","Moderate","JFK",2,6,6,1,4,1,"Female",42,2,"Discrete",NA,NA,NA
"63",13,"Fear","Moderate","JFK",2,1,7,1,1,1,"Female",42,2,"Discrete",NA,NA,NA
"64",14,"Fear","Moderate","The Alien Trilogy",2,5,7,1,1,1,"Female",42,2,"Discrete",NA,NA,NA
"65",15,"Fear","Moderate","Hannibal",2,4,7,1,6,1,"Female",42,2,"Discrete",NA,NA,NA
"66",16,"Fear","High","Running Scared",2,1,3,1,4,1,"Female",42,2,"Discrete",NA,NA,NA
"67",17,"Fear","High","The Untouchables",2,5,6,2,5,2,"Female",42,2,"Discrete",NA,NA,NA
"68",18,"Fear","High","The Fifth Element",2,4,7,1,1,1,"Female",42,2,"Discrete",NA,NA,NA
"69",19,"Fear","High","Lethal weapon 3",2,1,2,1,2,3,"Female",42,2,"Discrete",NA,NA,NA
"70",20,"Fear","High","Man of Galilee CD1",2,1,1,6,2,3,"Female",42,2,"Discrete",NA,NA,NA
"71",21,"Happy","Moderate","The Rainmaker",2,1,1,5,3,5,"Female",42,2,"Discrete",NA,NA,NA
"72",22,"Happy","Moderate","Batman",2,2,1,5,1,1,"Female",42,2,"Discrete",NA,NA,NA
"73",23,"Happy","Moderate","Shallow Grave",2,1,1,7,1,3,"Female",42,2,"Discrete",NA,NA,NA
"74",24,"Happy","Moderate","Man of Galilee CD1",2,1,1,6,1,2,"Female",42,2,"Discrete",NA,NA,NA
"75",25,"Happy","Moderate","Oliver Twist",2,1,1,3,3,3,"Female",42,2,"Discrete",NA,NA,NA
"76",26,"Happy","High","The Omen",2,1,1,4,3,5,"Female",42,2,"Discrete",NA,NA,NA
"77",27,"Happy","High","Oliver Twist",2,1,1,5,2,6,"Female",42,2,"Discrete",NA,NA,NA
"78",28,"Happy","High","Grizzly Man",2,1,2,3,3,6,"Female",42,2,"Discrete",NA,NA,NA
"79",29,"Happy","High","The Portait of a Lady",2,1,1,5,2,5,"Female",42,2,"Discrete",NA,NA,NA
"80",30,"Happy","High","Nostradamus",2,1,1,5,3,6,"Female",42,2,"Discrete",NA,NA,NA
"81",31,"Sad","Moderate","The English Patient",2,1,2,2,8,4,"Female",42,2,"Discrete",NA,NA,NA
"82",32,"Sad","Moderate","Running Scared",2,1,1,1,3,3,"Female",42,2,"Discrete",NA,NA,NA
"83",33,"Sad","Moderate","The Portait of a Lady",2,1,5,1,7,2,"Female",42,2,"Discrete",NA,NA,NA
"84",34,"Sad","Moderate","Big Fish",2,1,1,2,3,4,"Female",42,2,"Discrete",NA,NA,NA
"85",35,"Sad","Moderate","Man of Galilee CD1",2,1,2,3,6,5,"Female",42,2,"Discrete",NA,NA,NA
"86",36,"Sad","High","Angel Heart",2,1,1,2,3,5,"Female",42,2,"Discrete",NA,NA,NA
"87",37,"Sad","High","Batman",2,2,5,2,4,2,"Female",42,2,"Discrete",NA,NA,NA
"88",38,"Sad","High","Dracula",2,1,2,2,3,4,"Female",42,2,"Discrete",NA,NA,NA
"89",39,"Sad","High","Shakespeare In Love",2,1,1,2,3,2,"Female",42,2,"Discrete",NA,NA,NA
"90",40,"Sad","High","The English Patient",2,1,2,6,7,5,"Female",42,2,"Discrete",NA,NA,NA
"91",41,"Tender","Moderate","Shine",2,1,1,6,4,7,"Female",42,2,"Discrete",NA,NA,NA
"92",42,"Tender","Moderate","Pride & Prejudice",2,1,2,2,2,5,"Female",42,2,"Discrete",NA,NA,NA
"93",43,"Tender","Moderate","Dances with Wolves",2,1,1,2,2,4,"Female",42,2,"Discrete",NA,NA,NA
"94",44,"Tender","Moderate","Pride & Prejudice",2,1,1,2,2,5,"Female",42,2,"Discrete",NA,NA,NA
"95",45,"Tender","Moderate","Oliver Twist",2,1,1,2,3,4,"Female",42,2,"Discrete",NA,NA,NA
"96",46,"Tender","High","Batman",2,1,2,3,3,4,"Female",42,2,"Discrete",NA,NA,NA
"97",47,"Tender","High","Oliver Twist",2,1,1,3,3,3,"Female",42,2,"Discrete",NA,NA,NA
"98",48,"Tender","High","Dracula",2,1,1,1,2,1,"Female",42,2,"Discrete",NA,NA,NA
"99",49,"Tender","High","Juha",2,1,1,3,4,5,"Female",42,2,"Discrete",NA,NA,NA
"100",50,"Tender","High","Oliver Twist",2,1,2,2,6,5,"Female",42,2,"Discrete",NA,NA,NA
"101",1,"Anger","Moderate","Lethal weapon 3",3,9,5,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"102",2,"Anger","Moderate","The Rainmaker",3,9,6,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"103",3,"Anger","Moderate","The Alien Trilogy",3,9,3,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"104",4,"Anger","Moderate","Cape Fear",3,6,5,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"105",5,"Anger","Moderate","The Fifth Element",3,8,6,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"106",6,"Anger","High","Crouching Tiger ",3,6,6,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"107",7,"Anger","High","Batman Returns",3,8,7,1,6,1,"Male",24,1,"Discrete",NA,NA,NA
"108",8,"Anger","High","Man of Galilee CD1",3,6,3,1,3,1,"Male",24,1,"Discrete",NA,NA,NA
"109",9,"Anger","High","The Untouchables",3,7,6,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"110",10,"Anger","High","Oliver Twist",3,4,8,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"111",11,"Fear","Moderate","Batman Returns",3,6,9,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"112",12,"Fear","Moderate","JFK",3,8,6,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"113",13,"Fear","Moderate","JFK",3,6,8,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"114",14,"Fear","Moderate","The Alien Trilogy",3,8,8,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"115",15,"Fear","Moderate","Hannibal",3,6,8,1,6,1,"Male",24,1,"Discrete",NA,NA,NA
"116",16,"Fear","High","Running Scared",3,7,7,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"117",17,"Fear","High","The Untouchables",3,1,9,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"118",18,"Fear","High","The Fifth Element",3,7,4,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
"119",19,"Fear","High","Lethal weapon 3",3,7,7,1,6,1,"Male",24,1,"Discrete",NA,NA,NA
"120",20,"Fear","High","Man of Galilee CD1",3,8,6,1,1,1,"Male",24,1,"Discrete",NA,NA,NA
